lemma|#occurences
not|20974
have|14490
be|9419
say|7251
make|7203
use|7049
do|6625
also|6509
person|6346
time|6286
more|6235
so|5908
get|5867
go|5857
other|5582
good|5292
know|5037
take|5021
see|4967
work|4646
year|4520
most|4215
first|4086
just|4054
think|3987
only|3912
then|3894
very|3574
find|3544
want|3508
need|3483
many|3331
day|3305
way|3293
well|3285
as|3273
come|3164
include|3000
give|2974
look|2900
thing|2881
now|2832
such|2744
high|2669
city|2641
life|2599
area|2599
new|2597
place|2594
much|2544
show|2537
even|2489
man|2438
great|2437
study|2426
back|2402
part|2381
become|2335
try|2306
long|2278
right|2248
feel|2240
help|2236
however|2205
image|2132
tell|2123
name|2110
different|2092
large|2082
small|2077
run|2042
here|2028
country|2022
change|2012
leave|2012
child|1974
system|1970
call|1969
start|1957
same|1954
old|1939
follow|1930
own|1922
still|1917
issue|1899
family|1892
late|1880
state|1869
result|1857
there|1849
ask|1822
last|1818
keep|1797
number|1795
little|1769
play|1736
really|1727
service|1712
end|1710
government|1689
lead|1687
water|1670
town|1662
local|1657
home|1653
point|1653
few|1651
about|1647
consider|1606
never|1593
several|1580
hour|1575
report|1568
increase|1562
base|1560
important|1548
step|1548
lot|1532
world|1530
too|1515
provide|1502
early|1499
level|1480
order|1474
group|1471
support|1463
second|1462
woman|1452
process|1436
live|1435
member|1435
book|1431
car|1424
case|1419
far|1416
hand|1415
low|1410
sure|1410
information|1401
de|1398
hold|1396
all|1395
side|1390
minute|1388
game|1369
food|1369
mean|1357
write|1354
allow|1322
away|1320
die|1314
next|1309
bus|1302
friend|1298
again|1297
talk|1290
big|1287
serve|1287
like|1277
party|1263
put|1257
experience|1254
close|1251
method|1251
believe|1247
house|1239
understand|1238
train|1234
public|1233
seem|1232
create|1229
form|1223
open|1218
main|1212
problem|1211
always|1211
let|1197
head|1195
face|1193
bring|1190
set|1187
begin|1178
model|1172
add|1166
move|1158
datum|1150
line|1149
often|1148
present|1143
around|1141
due|1137
control|1137
dog|1129
offer|1125
cause|1125
example|1123
one|1119
choose|1116
return|1116
accord|1114
community|1111
build|1108
question|1107
stop|1107
power|1101
death|1101
plan|1097
value|1095
school|1092
read|1092
interview|1092
business|1086
pay|1065
walk|1065
month|1056
force|1054
team|1053
turn|1051
effect|1042
able|1037
research|1032
require|1028
least|1027
possible|1021
continue|1021
site|1020
eye|1016
money|1008
enough|1006
young|1004
speak|996
win|993
week|992
top|971
company|968
receive|966
development|961
event|959
type|957
design|953
remain|953
less|952
idea|945
light|943
free|937
region|937
kill|930
night|929
love|928
drive|928
building|924
cost|922
buy|922
bad|922
happen|921
meet|916
room|916
visit|915
involve|915
pass|912
ever|905
develop|905
over|904
together|904
major|902
view|902
political|901
human|898
care|894
lose|890
activity|876
election|875
easy|873
learn|873
station|873
reach|872
health|869
son|866
energy|866
position|860
hard|857
bear|853
available|852
attack|852
kind|849
interest|848
note|842
source|841
reason|837
travel|830
especially|828
project|826
road|826
up|823
course|822
candidate|821
stand|820
current|819
probably|813
term|809
appear|809
word|808
hear|805
feature|805
fact|798
approach|798
cover|797
body|792
history|792
condition|786
job|786
plant|786
already|784
air|780
almost|777
land|776
law|775
story|770
paper|770
store|769
social|768
locate|768
apply|766
role|765
send|765
short|764
campaign|764
today|763
grow|763
material|763
expect|762
once|758
release|758
describe|754
nothing|751
full|749
someone|748
eat|748
fall|748
official|746
reduce|744
focus|743
mind|743
improve|743
stay|741
test|739
whole|738
goal|738
island|736
real|733
therefore|732
list|731
century|718
quite|717
various|717
future|712
spend|712
animal|712
website|711
cell|711
quality|709
park|709
military|704
rather|702
student|700
strong|700
factor|697
vote|697
record|696
product|695
response|694
individual|692
amount|692
girl|692
language|692
decide|688
represent|688
sign|686
address|686
action|686
usually|686
watch|685
performance|685
center|685
marry|683
influence|683
actually|682
common|681
general|679
field|678
perform|678
office|676
decision|675
boat|674
north|674
rule|673
space|672
foot|672
half|671
claim|670
analysis|670
paint|669
period|667
likely|665
deal|663
date|661
age|659
remember|658
mother|657
rate|657
player|656
hope|655
south|655
out|654
suggest|654
account|654
attempt|652
avoid|651
cut|651
father|651
propose|648
music|648
thus|646
risk|646
leader|644
obtain|640
court|639
post|637
down|636
certain|636
similar|635
population|635
village|634
measure|633
enter|632
relationship|631
bit|630
tip|630
video|628
answer|628
identify|628
war|627
yet|626
church|625
option|622
fight|621
matter|621
publish|621
check|619
regard|618
remove|618
act|617
white|616
class|615
kilometer|613
policy|612
produce|612
difference|612
compare|611
addition|609
property|609
art|609
sometimes|608
wife|606
access|605
range|605
determine|605
complete|604
street|603
daughter|602
share|601
affect|601
door|601
police|599
piece|598
parent|596
soon|595
organization|593
draw|589
sit|589
network|588
