lemma|pos|#occurences
not|r|20974
have|v|14483
be|v|9300
say|v|7201
make|v|7187
do|v|6516
also|r|6509
person|n|6346
time|n|6268
use|v|6142
so|r|5901
get|v|5846
go|v|5804
other|a|5582
good|a|5074
know|v|5037
take|v|4992
see|v|4911
year|n|4520
just|r|4032
more|r|4008
think|v|3974
then|r|3894
find|v|3530
want|v|3477
very|r|3403
many|a|3331
day|n|3305
as|r|3272
way|n|3230
well|r|3215
come|v|3158
first|a|3150
only|r|3130
include|v|3000
give|v|2968
thing|n|2881
need|v|2854
now|r|2825
city|n|2641
such|a|2634
look|v|2602
life|n|2599
area|n|2599
new|a|2597
high|a|2569
even|r|2467
work|v|2466
most|r|2448
great|a|2435
man|n|2431
part|n|2350
become|v|2335
try|v|2252
more|a|2209
however|r|2205
feel|v|2193
work|n|2180
image|n|2130
tell|v|2121
different|a|2092
small|a|2076
large|a|2075
place|n|2033
here|r|2026
country|n|2022
show|v|1996
child|n|1974
system|n|1970
same|a|1954
study|n|1932
follow|v|1930
old|a|1928
back|r|1915
still|r|1903
help|v|1899
family|n|1892
leave|v|1837
there|r|1828
ask|v|1822
run|v|1798
keep|v|1787
number|n|1777
most|a|1767
start|v|1754
call|v|1729
really|r|1727
little|a|1721
government|n|1689
service|n|1687
issue|n|1675
town|n|1662
own|a|1658
few|a|1651
water|n|1647
about|r|1611
consider|v|1606
never|r|1593
last|a|1588
several|a|1580
hour|n|1575
important|a|1548
lot|n|1531
world|n|1530
too|r|1515
name|n|1513
point|n|1507
provide|v|1502
local|a|1498
woman|n|1452
lead|v|1451
play|v|1450
step|n|1448
level|n|1445
group|n|1437
member|n|1435
car|n|1424
case|n|1418
much|r|1411
information|n|1401
de|n|1398
sure|a|1380
side|n|1379
minute|n|1378
food|n|1369
result|n|1368
hand|n|1366
process|n|1362
game|n|1361
write|v|1354
far|r|1349
allow|v|1322
book|n|1318
away|r|1314
hold|v|1313
long|a|1307
live|v|1306
state|n|1301
friend|n|1298
bus|n|1298
again|r|1297
low|a|1296
all|r|1289
big|a|1287
die|v|1284
home|n|1282
serve|v|1280
party|n|1259
increase|v|1257
method|n|1251
put|v|1249
believe|v|1247
mean|v|1240
understand|v|1238
seem|v|1232
create|v|1229
end|n|1228
like|v|1215
problem|n|1211
always|r|1211
main|a|1195
order|n|1194
bring|v|1190
late|r|1190
let|v|1181
begin|v|1178
add|v|1164
base|v|1161
second|a|1160
datum|n|1150
often|r|1148
around|r|1141
much|a|1132
house|n|1126
dog|n|1125
example|n|1123
one|n|1119
due|a|1119
choose|v|1116
community|n|1111
line|n|1107
death|n|1101
accord|v|1096
model|n|1092
school|n|1090
business|n|1086
talk|v|1080
read|v|1066
power|n|1060
month|n|1056
team|n|1052
build|v|1042
able|a|1037
move|v|1037
early|a|1031
offer|v|1030
require|v|1028
possible|a|1021
continue|v|1021
value|n|1015
site|n|1015
change|v|1008
money|n|1008
eye|n|1005
change|n|1004
effect|n|1004
young|a|1002
speak|v|996
pay|v|993
question|n|992
week|n|992
train|n|986
company|n|968
receive|v|966
development|n|961
event|n|959
public|a|958
remain|v|953
experience|n|952
long|r|951
idea|n|945
region|n|937
next|a|933
research|n|933
first|r|932
night|n|929
building|n|924
happen|v|921
head|n|919
involve|v|915
room|n|915
buy|v|914
kill|v|913
win|v|912
bad|a|912
meet|v|909
report|v|909
use|n|907
ever|r|905
develop|v|905
together|r|903
political|a|901
free|a|896
least|a|895
type|n|894
lose|v|890
activity|n|876
election|n|875
learn|v|873
health|n|869
son|n|866
energy|n|866
major|a|865
over|r|859
easy|a|859
station|n|857
available|a|852
stop|v|839
right|n|831
reach|v|830
source|n|829
especially|r|828
reason|n|826
road|n|826
position|n|821
course|n|821
candidate|n|821
turn|v|820
probably|r|813
cause|v|813
return|v|813
appear|v|809
hear|v|805
word|n|803
kind|n|798
fact|n|798
bear|v|798
interest|n|796
pass|v|795
body|n|792
history|n|792
support|v|789
job|n|786
already|r|784
term|n|783
only|a|782
right|a|782
project|n|782
almost|r|777
control|n|776
law|n|775
up|r|773
condition|n|771
story|n|770
paper|n|769
social|a|768
locate|v|768
apply|v|766
role|n|765
send|v|765
grow|v|763
today|n|762
expect|v|762
once|r|758
describe|v|754
interview|n|752
nothing|n|751
someone|n|748
eat|v|748
walk|v|748
stand|v|747
full|a|744
reduce|v|744
improve|v|743
material|n|740
goal|n|738
air|n|738
island|n|736
therefore|r|732
human|a|721
century|n|718
quite|r|717
various|a|717
spend|v|712
animal|n|712
face|n|711
website|n|711
cell|n|711
rather|r|702
plant|n|702
student|n|700
strong|a|700
product|n|695
response|n|694
girl|n|692
language|n|692
factor|n|690
late|a|690
